	400_vs_60k_in_HPLM_fc	400_vs_60k_in_HPLM_p	400_vs_60k_in_DMEM_fc	400_vs_60k_in_DMEM_p	400_vs_60k_in_HPLM_15mM_Glucose_fc	400_vs_60k_in_HPLM_15mM_Glucose_p	400_vs_60k_in_DMEM_15mM_Glucose_fc	400_vs_60k_in_DMEM_15mM_Glucose_p	60k_HPLM_vs_DMEM_fc	60k_HPLM_vs_DMEM_p	400_HPLM_vs_DMEM_fc	400_HPLM_vs_DMEM_p	60k_HPLM_vs_DMEM_15mM_Glucose_fc	60k_HPLM_vs_DMEM_15mM_Glucose_p	400_HPLM_vs_DMEM_15mM_Glucose_fc	400_HPLM_vs_DMEM_15mM_Glucose_p
sec-Butylamine	0.5220470239523757	0.006712392347056056	1.1927378817761207	0.00875219188094485	0.5858131512848624	0.0014762723799284394	1.3993540782364897	0.001762266997809914	6.598535574319652	0.0010988543906450816	5.927844716495907	0.0017633578330472077	4.835164722494653	0.0012722758580988671	4.021623795543026	0.0010247911773218481
2-Hydroxyglutarate	-1.0168916759835451	0.00012026765864369439	-1.1429542817784364	0.000188390571615375	-0.9034663943667222	0.0005411327399135585	-0.9524330849653048	0.002876282790822725	-0.6415388441809894	0.002527460994567915	-0.5154762383860979	0.012666167079115317	-0.5203654692262119	0.01973115812997426	-0.47139877862762947	0.041000119184410044
3-Phosphoglyceric acid	0.07151686744497361	0.8139965674081546	0.20501799609043814	0.5478853656565511	-0.9607185403086217	0.006336993478702196	-1.129087791015698	0.0001336792795009263	0.09509091585135164	0.6453600413914623	-0.038410212794112684	0.9186434789313329	0.08507031343955294	0.47819505737086637	0.2534395641466291	0.33963231895497853
Pyroglutamic acid	0.24931006384670068	0.13861341130931326	1.0641352607891261	7.250786416714572e-05	0.6161274238026072	0.007764455583266513	1.0771696232791816	3.1983557961825884e-06	-3.0197924076277025	4.633826289886473e-07	-3.8346176045701283	0.000145984318904971	-2.9088015975852426	4.5486463750479314e-05	-3.3698437970618174	1.4863356770641858e-05
5-Methylthioadenosine	-0.243592665092977	0.02234030439360784	-0.09860088040033055	0.31317093954349734	-0.32441533665970046	0.01568779251630816	-0.12240057639805874	0.1442926169290933	0.7087391701010441	0.00047830595228264434	0.5637473854083977	0.005542293981760579	0.5935749897144241	0.0015596971836545886	0.3915602294527824	0.021007312824807826
Adenosine	0.4422812022398299	0.0066836394050264385	0.6586423071308863	0.0015836796791394805	0.7469121402728104	0.0019298497074362534	0.5797962522971092	0.07167151459452208	0.16802747258429251	0.1172272516024721	-0.04833363230676378	0.45427045285640133	0.4986505255834809	0.08396579722836792	0.6657664135591822	0.009240559527219128
alpha-ketoglutarate	1.0008520237139729	0.008291139668734899	-0.06115927530099043	0.5276033102822807	0.8782472000951121	0.016134904673404133	0.08456383541796055	0.3988538545150263	1.466672590467172	1.135839474991974e-05	2.5286838894821355	0.0024545229506328465	1.372647839051302	0.00010527938823638005	2.1663312037284537	0.006163630670205157
Acyl-carnitine	-0.003914887050167017	0.9474769925810629	-0.015166649675818286	0.7956146656068618	0.08898878839242665	0.21468806447966246	0.576717135636323	0.00014650800789314182	4.274398365573843	0.0009709036064306241	4.285650128199494	0.0006444884399665159	3.5249599508186003	0.0012523677284438331	3.037231603574704	0.0009085752175410999
Acyl-choline	-0.33661403724961075	0.11922397168713755	-0.32422965207118737	0.04101937575513876	-0.3380110107017336	0.0806797964125463	-0.5344435687914738	0.0030667265767246018	0.15935617119062184	0.3551643029450393	0.1469717860121985	0.3134519386254698	0.1125876717149326	0.4069211811866619	0.30902022980467275	0.08362801934082537
cis-Aconitic acid	0.0545823469217114	0.9577864575329489	-0.3816962917767829	0.00603340058461965	0.29756290116750594	0.7662720540042324	-0.6139728304247885	0.06127889890441784	0.40994817662679495	0.6549550872969055	0.8462268153252892	0.44810638706012845	0.005226330391047298	0.9938545711447819	0.9167620619833415	0.4275230930414896
Adenine	-0.041700392038899095	0.45287703238160965	0.1705688937026364	0.6805261068747015	-0.05978988359097947	0.6142270481819793	-0.24732211892275868	0.6090697062641304	-1.1951242423631394	0.09097684745136991	-1.407393528104675	0.08236740267400011	-1.3560321257023995	0.1409348114400957	-1.1684998903706205	0.01922347199274634
ADP	-0.910284839449549	0.007858209287942846	-0.5379227180069602	0.01875600606414865	-1.5444715034509482	0.003665680601384666	-2.8565186654486117	0.00531435700078813	1.6445974268252188	0.0014751419183775874	1.2722353053826299	0.00020216155927547033	-0.5215731379678236	0.021915709290767936	0.7904740240298401	0.03881126615428989
ADP	-0.6642349602520886	0.0945322991385013	-0.632526822947879	0.029218009273579516	-0.5610533017747608	0.01036548590437396	0.3203932326692846	0.0280157321529769	0.5905355381599878	0.1180348715331173	0.5588274008557783	0.14375358338902738	0.7252115132035433	0.0006684672145046219	-0.1562350212405022	0.2437024657313019
ADP	-0.41120229618697	0.5634825063811564	0.02425248893815492	0.9566472902893427	-1.1029096377529624	0.007858003863568417	-3.1356050492571814	0.0009053984364676042	1.1324622633207133	0.24019945676579338	0.6970074781955881	0.2744465003771193	-1.048838700925307	0.0007187338196374709	0.983856710578912	0.08184444788652114
L-Alanine	0.32341018364305524	0.040971116682745314	0.35546697409191436	0.10411115363989121	0.5049467721133366	0.004494663256247938	0.8372411210418845	0.0004315049377679713	5.668235066828952	0.0008037587704000443	5.636178276380093	0.002609300929949358	4.4243978911684865	0.0007788412471099129	4.092103542239938	0.0013384676107640293
Adenosine monophosphate	-0.6324603046689464	0.0011042809050560499	-0.6682514541308198	0.030173144575842355	-1.0845889863730034	0.07485240263653282	-1.0519248098820708	0.08953920829363744	0.7049961437230857	0.002407841990365359	0.740787293184959	0.021102270164191774	0.15760686207909327	0.676599224435136	0.12494268558816092	0.6971295724927304
AMP	-0.3841513952379188	0.35682820935538684	-0.7723562986325789	0.09048480774228938	-0.02336826691101497	0.9618282346724789	2.14784937961498	0.004708923637802064	-0.35368375302581834	0.3290118198430397	0.03452115036884163	0.9346561818781983	1.4079153073281134	0.030184954748498267	-0.7633023391978816	0.1181908595854077
L-Arginine	-0.5733229203143958	0.07663648826664594	-0.3750010088379598	0.2101347853180673	-0.15301547081402422	0.6640564144826067	-0.34238265891341607	0.17681359689392065	-2.1246626432077487	0.006765176718059921	-2.3229845546841847	0.036824264033676155	-2.1150042247949608	0.003579415467066539	-1.9256370366955686	0.024026516268885627
